is_pravnaoseba,davcni_zavezanec,davcna_st,maticna_st,dolgo_ime,kratko_ime,naslov,posta
TRUE,TRUE,65943252,,PANTAL Trgovina in storitve d.o.o.,PANTAL d.o.o., Žnidarčičeva ulica 31,5290
TRUE,TRUE,31211976,,PINTARŠPED Transport in špedicija d.o.o.,PINTARŠPED d.o.o.,Mednarodni prehod 2A,5290
TRUE,TRUE,67972764,,TOT CENTER d.o.o.,TOT CENTER d.o.o.,Cesta Prekomorskih brigad 62a,5290
TRUE,TRUE,48782033,,"VIRAS, prodaja in storitve, d.o.o.",VIRAS d.o.o. ,Mednarodni prehod 6,5290
TRUE,TRUE,38919117,,"KRISTAL Trgovina s steklenimi, porcelanastimi in d",Kristal d.o.o. Renče,Lukežiči 45,5292
TRUE,TRUE,71429654,,AVTOSERVIS STANIČ d.o.o.,AVTOSERVIS STANIČ d.o.o.,Bukovica 1b,5293
TRUE,TRUE,63658011,,ADRIATIC SLOVENICA Zavarovalna družba d.d.,ADRIATIC SLOVENICA d.d., Ljubljanska cesta 3A,6000
TRUE,TRUE,31929974,,"NV ELEKTRONIKA proizvodnja, trgovina in storitve d",NV ELEKTRONIKA d.o.o.,Ferrarska ulica 12,6000
TRUE,TRUE,54309786,,"Odvetniška pisarna Prodan Jurič, d.o.o.",Odvetniška pisarna Prodan Jurič d.o.o., Ferrarska ulica 5A,6000
TRUE,TRUE,57536163,,"OMV SLOVENIJA, trgovina z nafto in naftnimi deriva",OMW, Ferrarska ulica 7,6000
TRUE,TRUE,91727316,,BIRO BILANCE d.o.o.,BIRO BILANCE d.o.o.,Kopriva 5,6221
TRUE,TRUE,42952697,,SENČILA PREMRL STOJAN S.P.,SENČILA PREMRL STOJAN,Veliki Otok 44,6230
TRUE,TRUE,13545949,,"SEC, proizvodnja in trgovina, d.o.o.",SEC d.o.o.,Bač 49a,6253
TRUE,TRUE,71633065,,Univerza na Primorskem Fakulteta za vede o zdravju,UZV,Polje 42,6310
TRUE,TRUE,73819174,,JP Okolje Piran d.o.o.,JP Okolje Piran d.o.o.,Arze 1b,6330
TRUE,TRUE,18911757,,"AUDIO PRO, trgovina z avdio, glasbeno in računalni",AUDIO PRO d.o.o.,Cesta krških žrtev 137,8270
TRUE,TRUE,97266019,,TRGOVINA MAJSTER - ŠINKO ERVIN S.P.,ŠINKO ERVIN S.P.,CANKARJEVA ULICA 23,9000
TRUE,TRUE,72183179,,"PROSIGMA, storitve, trgovina in svetovanje d.o.o.",PROSIGMA d.o.o.,Prešernova ulica 7,9240
